"timestamp_processing","supplier_name","sender","date","subject","type","variety","subvariety","size","piece","brand","package_type","class","origin_country_code","net_weight","quantity_per_pallet","price","remarks"
2025-04-29 11:51:45.544 +0200,Frankort,t.hendriks@frankort.nl,2025-03-21 07:07:00.000 +0100,Dagprijzen komkommers.xlsx,Cucumber,Naked,unspecified,"35+","22stk",unspecified,EPS,unspecified,NL,0.0,0,0.0,EPSK
2025-04-29 11:51:45.544 +0200,Frankort,t.hendriks@frankort.nl,2025-03-21 07:07:00.000 +0100,Dagprijzen komkommers.xlsx,Apples,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,N/A,0.0,0,0.0,"The text provided is a legal document regarding delivery, transportation, and storage terms between a seller and a buyer. It does not contain specific product offers or details about fruits, vegetables, or other goods."
2025-04-29 11:51:45.544 +0200,Frankort,t.hendriks@frankort.nl,2025-03-21 07:07:00.000 +0100,Dagprijzen komkommers.xlsx,Apples,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,N/A,0.0,0,0.0,"The text provided is a legal document regarding the retention of title and rights of the seller over the products until full payment is made by the buyer. It includes clauses about the buyer's obligations, the seller's rights in case of payment default, and specific provisions for buyers located in Germany and Belgium. No specific product offers or characteristics are mentioned."
2025-04-29 11:51:45.544 +0200,Frankort,t.hendriks@frankort.nl,2025-03-21 07:07:00.000 +0100,Dagprijzen komkommers.xlsx,Apples,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,N/A,0.0,0,0.0,The text provided does not contain any product offers or relevant characteristics to extract.
2025-04-29 11:51:45.544 +0200,Frankort,t.hendriks@frankort.nl,2025-03-21 07:07:00.000 +0100,Dagprijzen komkommers.xlsx,Apples,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,N/A,0.0,0,0.0,"The text provided is a legal document regarding terms and conditions of sale, inspection, complaints, and product safety. It does not contain specific product offers or characteristics related to fruits or vegetables."
2025-04-29 11:51:45.544 +0200,Frankort,t.hendriks@frankort.nl,2025-03-21 07:07:00.000 +0100,Dagprijzen komkommers.xlsx,Apples,Royal Gala,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,IT,0.0,0,0.0,No specific offer details provided in the text.
2025-04-29 11:51:45.544 +0200,Frankort,t.hendriks@frankort.nl,2025-03-21 07:07:00.000 +0100,Dagprijzen komkommers.xlsx,Bananas,Cavendish,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,CR,0.0,0,0.0,No specific offer details provided in the text.
2025-04-29 11:51:45.544 +0200,Frankort,t.hendriks@frankort.nl,2025-03-21 07:07:00.000 +0100,Dagprijzen komkommers.xlsx,Dpa Pallet,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,N/A,0.0,0,0.0,"The text provided does not contain specific product offers or details related to product characteristics. It mainly discusses terms and conditions related to force majeure, packaging, and contract dissolution."
2025-04-29 11:51:45.544 +0200,Frankort,t.hendriks@frankort.nl,2025-03-21 07:07:00.000 +0100,Dagprijzen komkommers.xlsx,Apples,Royal Gala,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,NL,0.0,0,0.0,"No specific details about packaging, size, or other characteristics provided."
2025-04-29 11:51:45.544 +0200,Frankort,t.hendriks@frankort.nl,2025-03-21 07:07:00.000 +0100,Dagprijzen komkommers.xlsx,Bananas,Cavendish,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,CR,0.0,0,0.0,"No specific details about packaging, size, or other characteristics provided."
2025-04-29 11:51:45.544 +0200,Frankort,t.hendriks@frankort.nl,2025-03-21 07:07:00.000 +0100,Dagprijzen komkommers.xlsx,Grapes Red,Seedless,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,ZA,0.0,0,0.0,"No specific details about packaging, size, or other characteristics provided."
2025-04-29 11:51:45.544 +0200,Frankort,t.hendriks@frankort.nl,2025-03-21 07:07:00.000 +0100,Dagprijzen komkommers.xlsx,Apples,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,N/A,0.0,0,0.0,"The text provided does not contain any specific product offers or characteristics related to product types, varieties, sizes, brands, package types, pallets, product classes, unit types, unit trade types, countries, pieces, net weights, or quantities per pallet. It appears to be a legal document related to payment and delivery terms."
